"imdb_score","movie_budget","release_day","release_month","release_year","duration","language","country","maturity_rating","aspect_ratio","distributor","nb_news_articles","director","actor1","actor1_star_meter","actor2","actor2_star_meter","actor3","actor3_star_meter","colour_film","genres","nb_faces","plot_keywords","action","adventure","scifi","thriller","musical","romance","western","sport","horror","drama","war","animation","crime","movie_meter_IMDBpro","cinematographer","production_company","biography","comedy","music","fantasy","history","mystery","family","documentary","plot_topic1","plot_topic2","plot_topic3","plot_topic4","plot_topic5","plot_topic6","plot_topic7","plot_topic8"
8.1,40000000,1,"Apr",2005,147,"English","USA","R",1.85,"Dimension Films",7764,"Frank Miller","Rosario Dawson",779,"Powers Boothe",3801,"Jason Douglas",8675,"Black and White","Crime|Thriller",1,"anthology|corruption|hearing characters thoughts|neo noir|night",0,0,0,1,0,0,0,0,0,0,0,0,1,1135,"Robert Rodriguez","Dimension Films",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
4.6,50000000,20,"Nov",2009,130,"English","USA","PG-13",2.35,"Summit Entertainment",16092,"Chris Weitz","Robert Pattinson",740,"Kristen Stewart",364,"Taylor Lautner",1665,"Color","Adventure|Drama|Fantasy|Romance",2,"forks washington|protecting a woman|title same as book|vampire|werewolf",0,1,0,0,0,1,0,0,0,1,0,0,0,2667,"Javier Aguirresarobe","Temple Hill Entertainment",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.1,50000000,5,"Aug",2005,107,"English","USA","PG-13",2.35,"Warner Bros.",368,"Jay Chandrasekhar","Alice Greczyn",4638,"Jessica Simpson",3512,"Michael Weston",5364,"Color","Action|Adventure|Comedy",5,"1969 dodge charger|bikini|farm|misogynist|tow truck",1,1,0,0,0,0,0,0,0,0,0,0,0,2557,"Lawrence Sher","Warner Bros.",0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
8.2,15000000,19,"Oct",2007,148,"English","USA","R",2.35,"Paramount Pictures",1183,"Sean Penn","Kristen Stewart",364,"William Hurt",2566,"Hal Holbrook",4723,"Color","Adventure|Biography|Drama",0,"alaska|based on true story|male nudity|self discovery|wilderness",0,1,0,0,0,0,0,0,0,1,0,0,0,1114,"Eric Gautier","Paramount Vantage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,18000000,16,"Oct",2008,114,"English","UK","R",2.35,"Warner Bros.",1652,"Guy Ritchie","Tom Hardy",20,"Gerard Butler",371,"Tom Wilkinson",4548,"Color","Action|Crime|Thriller",4,"accountant|finger gun|homosexual|killed in an elevator|painting",1,0,0,1,0,0,0,0,0,0,0,0,1,2246,"David Higgs","Warner Bros.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.8,47000000,23,"Feb",1996,108,"English","USA","R",1.85,"Sony Pictures Releasing",37,"Stephen Frears","Julia Roberts",513,"Bronagh Gallagher",7177,"George Cole",3512432,"Color","Drama|Horror|Romance|Thriller",1,"19th century|butler|housemaid|laboratory|servant",0,0,0,1,0,1,0,0,1,1,0,0,0,17965,"Philippe Rousselot","NFH Productions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5.7,40000000,18,"May",2012,110,"English","USA","PG-13",2.35,"Lionsgate",846,"Kirk Jones","Anna Kendrick",54,"Dennis Quaid",913,"Thomas Lennon",2216,"Color","Comedy|Drama|Romance",12,"baby|expecting twins|hawaiian shirt|photographer|pregnancy",0,0,0,0,0,1,0,0,0,1,0,0,0,4144,"Xavier Grobet","Lionsgate",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.5,28000000,6,"Feb",2004,135,"English","USA","PG",2.4,"Buena Vista Pictures",285,"Gavin O'Connor","Eddie Cahill",3046,"Noah Emmerich",3628,"Kenneth Mitchell",9326,"Color","Biography|Drama|History|Sport",0,"1980s|hockey|ice hockey|olympics|soviet union",0,0,0,0,0,0,0,1,0,1,0,0,0,5650,"Dan Stoloff","Pop Pop Productions",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.2,52000000,22,"Nov",1995,178,"English","USA","R",2.35,"Bulldog Film Distribution",889,"Martin Scorsese","Robert De Niro",379,"Don Rickles",6344,"Kevin Pollak",3613,"Color","Biography|Crime|Drama",2,"car bomb|card cheat|cash|casino|gambling syndicate",0,0,0,0,0,0,0,0,0,1,0,0,1,1873,"Robert Richardson","Universal Pictures",1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
6.2,30000000,6,"Aug",2010,107,"English","USA","PG-13",1.85,"Summit Entertainment",755,"Jon M. Chu","Alyson Stoner",1263,"Stephen Boss",10531,"Facundo Lombard",81561,"Color","Drama|Music|Romance",0,"dance|dance crew|dancer|mortgage|new york city",0,0,0,0,1,1,0,0,0,1,0,0,0,6956,"Ken Seng","Summit Entertainment",0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
7.1,8000000,17,"Sep",2010,92,"English","USA","PG-13",1.85,"Screen Gems",3068,"Will Gluck","Emma Stone",18,"Dan Byrd",3251,"Fred Armisen",1588,"Color","Comedy|Romance",1,"gay|gay interest|high school|school|student",0,0,0,0,0,1,0,0,0,0,0,0,0,978,"Michael Grady","Screen Gems",0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1
5.8,25000000,10,"Feb",2006,86,"English","Germany","R",2.35,"New Line Cinema",348,"James Wong","Chelan Simmons",6699,"Gina Holden",4334,"Crystal Lowe",5322,"Color","Horror",0,"amusement park|death|fate|premonition|roller coaster",0,0,0,0,0,0,0,0,1,0,0,0,0,3882,"Robert McLachlan","New Line Cinema",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6.1,13000000,24,"Apr",1998,91,"English","USA","R",1.85,"TriStar Pictures",53,"Kirk Wong","Bokeem Woodbine",3767,"Elliott Gould",3100,"Antonio Sabato Jr.",11054,"Color","Action|Comedy|Crime|Thriller",5,"hitman|kidnapping|kosher|vhs|video store",1,0,0,1,0,0,0,0,0,0,0,0,1,10747,"Danny Nowak","TriStar Pictures",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
7.2,1000000,10,"Oct",2003,92,"English","USA","R",1.85,"Vitagraph Films",502,"Don Coscarelli","Daniel Roebuck",6614,"Ossie Davis",13365,"Ella Joyce",23052,"Color","Comedy|Fantasy|Mystery",2,"cult film|elvis|elvis presley|nursing home|texas",0,0,0,0,0,0,0,0,0,0,0,0,0,6818,"Adam Janeiro","Silver Sphere Corporation",0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1
6.5,33000000,16,"Apr",2004,140,"English","USA","R",2.35,"Lions Gate Films",708,"Jonathan Hensleigh","Laura Harring",1724,"Marco St. John",33408,"Eddie Jemison",8439,"Color","Action|Crime|Drama|Thriller",1,"death|family reunion|fbi|fbi agent|vigilante",1,0,0,1,0,0,0,0,0,1,0,0,1,1554,"Conrad W. Hall","Lions Gate Films",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
6.2,35000000,25,"Jan",2013,118,"English","USA","R",2.35,"Sierra / Affinity",881,"Taylor Hackford","Jason Statham",304,"Clifton Collins Jr.",2999,"Wendell Pierce",2252,"Color","Action|Crime|Romance|Thriller",0,"action hero|disguise|hospital|real estate agent|thief",1,0,0,1,0,1,0,0,0,0,0,0,1,4776,"James M. Muro","Incentive Filmed Entertainment",0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
6.5,12000000,11,"Aug",2006,104,"English","USA","PG-13",2.35,"Summit Entertainment",2550,"Anne Fletcher","Channing Tatum",573,"Alyson Stoner",1263,"Josh Henderson",6852,"Color","Crime|Drama|Music|Romance",0,"dance|dancer|school|showcase|student",0,0,0,0,1,1,0,0,0,1,0,0,1,3278,"Michael Seresin","Touchstone Pictures",0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1
4.9,45000000,7,"Jun",1996,100,"English","Australia","PG",2.35,"Paramount Pictures",177,"Simon Wincer","Cary-Hiroyuki Tagawa",3271,"Treat Williams",4071,"Kristy Swanson",1266,"Color","Action|Adventure|Comedy|Fantasy",0,"ghost|new york city|phantom|skull|superhero",1,1,0,0,0,0,0,0,0,0,0,0,0,6778,"David Burr","Paramount Pictures",0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1
6.3,23000000,4,"Mar",2011,97,"English","USA","R",2.35,"Relativity Media",774,"Michael Dowse","Topher Grace",580,"Michael Biehn",1232,"Dan Fogler",2226,"Color","Comedy|Drama|Romance",4,"friend|night|party|sex scene|sister",0,0,0,0,0,1,0,0,0,1,0,0,0,5651,"Terry Stacey","Rogue Pictures",0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5.1,3000000,1,"Aug",1997,98,"English","USA","PG",1.85,"Buena Vista Pictures",210,"Charles Martin Smith","Kevin Zegers",2781,"Bill Cobbs",7885,"Michael Jeter",6088,"Color","Comedy|Drama|Family|Sport",0,"basketball|boy|dog|dog movie|golden retriever",0,0,0,0,0,0,0,1,0,1,0,0,0,10945,"Mike Southon","Walt Disney Pictures",0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1
6.8,7000000,27,"Jun",1973,121,"English","UK","PG",1.66,"United Artists",595,"Guy Hamilton","Yaphet Kotto",7038,"Geoffrey Holder",7782,"Clifton James",11575,"Color","Action|Adventure|Thriller",3,"british|cards|heroin|murder|tarot card",1,1,0,1,0,0,0,0,0,0,0,0,0,3488,"Ted Moore","Eon Productions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.7,3000000,27,"Nov",2013,85,"English","USA","R",2.35,"Syfy",54,"James DeMonaco","Rhys Wakefield",6743,"Adelaide Kane",1059,"Chris Mulkey",7775,"Color","Horror|Sci-Fi|Thriller",0,"class differences|killing spree|one night|suburb|violence",0,0,1,1,0,0,0,0,1,0,0,0,0,71,"multiple","Blumhouse Productions",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.3,25000000,2,"Jul",1986,99,"English","USA","PG-13",2.35,"Twentieth Century Fox",724,"John Carpenter","Victor Wong",10959,"Kate Burton",6428,"Peter Kwong",23888,"Color","Action|Adventure|Comedy|Fantasy",1,"1980s|airport|cb radio|truck|truck driver",1,1,0,0,0,0,0,0,0,0,0,0,0,2040,"Dean Cundey","Twentieth Century Fox",0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1
6.7,45000000,20,"Jul",1994,119,"English","USA","PG-13",2.35,"Warner Bros.",118,"Joel Schumacher","Bradley Whitford",1682,"Anthony LaPaglia",3741,"Brad Renfro",2271,"Color","Crime|Drama|Mystery|Thriller",3,"boy|brother|lawyer|mafia|senator",0,0,0,1,0,0,0,0,0,1,0,0,1,4023,"Tony Pierce-Roberts","Warner Bros.",0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
8.3,35000000,19,"Sep",1997,138,"English","USA","R",2.35,"Warner Bros.",80,"Curtis Hanson","Kevin Spacey",625,"Matt McCoy",2152,"Paul Guilfoyle",10551,"Color","Crime|Drama|Mystery|Thriller",2,"1950s|call girl|corruption|murder|police detective",0,0,0,1,0,0,0,0,0,1,0,0,1,1615,"Dante Spinotti","Regency Enterprises",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,45000000,30,"Jan",1998,106,"English","USA","R",2.35,"Buena Vista Pictures Distribution",82,"Stephen Sommers","Djimon Hounsou",1863,"Jason Flemyng",2629,"Wes Studi",3253,"Color","Action|Adventure|Horror|Sci-Fi",0,"creature feature|hijacker|ocean|ship|shot in the leg",1,1,1,0,0,0,0,0,1,0,0,0,0,4759,"Howard Atherton","Calimari Productions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,6500000,26,"Oct",1984,107,"English","UK","R",1.85,"Orion Pictures",6801,"James Cameron","Michael Biehn",1232,"Brian Thompson",3765,"Paul Winfield",8672,"Color","Action|Sci-Fi",1,"cyborg|future war|robot|shootout in a police station|urban setting",1,0,1,0,0,0,0,0,0,0,0,0,0,1100,"Adam Greenberg","Hemdale",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
7.5,6000000,12,"Jul",1995,104,"English","UK","R",2.35,"Hungarian Television",0,"Richard Loncraine","Robert Downey Jr.",159,"Jim Broadbent",2423,"Kristin Scott Thomas",2364,"Color","Drama|War",3,"1930s|abuse of power|england|king|murder",0,0,0,0,0,0,0,0,0,1,1,0,0,656405,"Jaa1nos Edelenyi","Magyar Televízió",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
7.7,1200000,29,"Oct",2004,103,"English","USA","R",1.85,"Lions Gate Films",3721,"James Wan","Michael Emerson",4267,"Monica Potter",1936,"Shawnee Smith",2602,"Color","Horror|Mystery|Thriller",0,"chained|flashback|killer|serial killer|surprise ending",0,0,0,1,0,0,0,0,1,0,0,0,0,1488,"David A. Armstrong","Evolution Entertainment",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6.4,50000000,21,"Mar",2014,119,"English","USA","PG",1.85,"Walt Disney Studios Motion Pictures",1323,"James Bobin","Ty Burrell",4405,"Tina Fey",2283,"Hugh Bonneville",4414,"Color","Adventure|Comedy|Crime|Family|Musical",4,"europe|frog|gulag|prison break|puppet",0,1,0,0,1,0,0,0,0,0,0,0,1,6931,"Don Burgess","Walt Disney Pictures",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8.1,22000000,25,"Feb",1983,240,"English","UK","PG",2.35,"Columbia Pictures Corporation",505,"Richard Attenborough","Candice Bergen",354,"Amrish Puri",12900,"John Gielgud",8476,"Black and White","Biography|Drama|History",0,"british|india|indian|muslim|pakistan",0,0,0,0,0,0,0,0,0,1,0,0,0,4226,"multiple","International Film Investors",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8.4,30000000,1,"Jun",1984,251,"English","Italy","R",1.85,"The Ladd Company",286,"Sergio Leone","Robert De Niro",379,"Burt Young",4041,"Treat Williams",4071,"Color","Crime|Drama",8,"1920s|ambiguity|childhood friend|new york|speakeasy",0,0,0,0,0,0,0,0,0,1,0,0,1,563,"Tonino Delli Colli","The Ladd Company",0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
6.8,15000000,13,"Aug",1999,95,"English","USA","R",2.35,"New Line Cinema",189,"Adam Rifkin","Natasha Lyonne",1552,"Lin Shaye",1985,"Shannon Tweed",4391,"Color","Comedy|Music",0,"band|concert|high school|kiss|teenager",0,0,0,0,1,0,0,0,0,0,0,0,0,8068,"John R. Leonetti","New Line Cinema",0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
7.8,12500000,26,"Nov",2008,94,"English","UK","PG-13",1.85,"Miramax",202,"Mark Herman","Richard Johnson",12443,"Sheila Hancock",17187,"Cara Horgan",22574,"Color","Drama|War",0,"boy|fence|jew|nazis|poison gas",0,0,0,0,0,0,0,0,0,1,1,0,0,2821,"Benoaaet Delhomme","Miramax",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4.5,40000000,27,"Nov",2002,93,"English","UK","PG-13",2.35,"MDP Worldwide",4,"Christian Duguay","Rufus Sewell",1498,"Bridgette Wilson-Sampras",272,"Rupert Graves",5006,"Color","Action|Adventure|Thriller",0,"commercial|extreme sports|mountain|serbian|terrorist",1,1,0,1,0,0,0,0,0,0,0,0,0,25980,"Hannes Hubach","Paramount Pictures",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
5.5,30000000,4,"Aug",1995,106,"English","USA","R",2.35,"Paramount Pictures",32,"Brett Leonard","Denzel Washington",341,"Costas Mandylor",6664,"Traci Lords",1054,"Color","Action|Crime|Sci-Fi|Thriller",1,"android|ex cop|serial killer|virtual character come to life|virtual reality",1,0,1,1,0,0,0,0,0,0,0,0,1,6993,"Gale Tattersall","Paramount Pictures",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
5.6,25000000,21,"Sep",2007,101,"English","USA","R",1.85,"Lionsgate",268,"Mark Helfrich","Dane Cook",5481,"Dan Fogler",2226,"Chelan Simmons",6699,"Color","Comedy|Romance",1,"breasts|leg spreading|mini skirt|sex|sex in bed",0,0,0,0,0,1,0,0,0,0,0,0,0,3875,"Anthony B. Richmond","Lionsgate",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,35000000,8,"May",2015,87,"English","USA","PG-13",2.35,"Warner Bros.",395,"Anne Fletcher","Jim Gaffigan",5045,"Richard T. Jones",6500,"Michael Mosley",1612,"Color","Action|Comedy|Crime",2,"danger|drug cartel|female cop|female police officer|fugitive",1,0,0,0,0,0,0,0,0,0,0,0,1,6030,"Oliver Stapleton","Metro-Goldwyn-Mayer (MGM)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,1500000,2,"Mar",1984,92,"English","USA","R",1.85,"Universal Pictures",308,"Alex Cox","Del Zamora",24013,"Tracey Walter",9018,"Miguel Sandoval",6446,"Color","Comedy|Crime|Sci-Fi|Thriller",3,"punk|punk rocker|repossession|televangelist|ufo",0,0,1,1,0,0,0,0,0,0,0,0,1,7194,"Robby Mabcller","Edge City",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9,27000000,26,"Jul",1996,117,"English","USA","PG-13",2.35,"MGM/UA Distribution Company",201,"Bobby Farrelly","Bill Murray",1278,"Lin Shaye",1985,"Richard Tyson",6237,"Color","Comedy|Sport",2,"amish|bowling|on the road|rubber hand|tournament",0,0,0,0,0,0,0,1,0,0,0,0,0,2988,"Mark Irwin","Rysher Entertainment",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.5,10000000,23,"Feb",1990,90,"English","Australia","R",1.33,"AMBI Group",9,"David Webb Peoples","Delroy Lindo",6475,"Joan Chen",5159,"Anna Katarina",37813,"Color","Action|Sci-Fi|Sport",2,"battle|blood splatter|combat|game|showdown",1,0,1,0,0,0,0,1,0,0,0,0,0,17494,"David Eggby","Kings Road Entertainment",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
6.2,16000000,18,"Jan",2013,112,"English","Australia","R",2.35,"AMBI Group",256,"Anne Fontaine","Robin Wright",491,"Naomi Watts",52,"Ben Mendelsohn",370,"Color","Drama|Romance",0,"beach|friend|friendship|happiness|neighbor",0,0,0,0,0,1,0,0,0,1,0,0,0,2237,"Christophe Beaucarne","Gaumont",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6.8,3000000,12,"Oct",2012,110,"English","USA","R",2.35,"IM Global",2133,"Scott Derrickson","Danielle Kotch",50119,"Victoria Leigh",68636,"James Ransone",3000,"Color","Horror|Mystery",0,"book|found footage|research|snuff film|writer",0,0,0,0,0,0,0,0,1,0,0,0,0,1527,"Christopher Norr","Alliance Films",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
7.4,50000000,10,"Oct",2014,141,"English","USA","R",2.35,"Warner Bros.",1003,"David Dobkin","Robert Downey Jr.",159,"Robert Duvall",1739,"Leighton Meester",217,"Color","Crime|Drama",1,"courtroom|dysfunctional family|indiana|lawyer|trial",0,0,0,0,0,0,0,0,0,1,0,0,1,3475,"Janusz Kaminski","Warner Bros.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,45000000,22,"Nov",1996,111,"English","USA","PG-13",2.35,"American Broadcasting Company (ABC)",205,"Jonathan Frakes","LeVar Burton",6476,"Alfre Woodard",2735,"Jonathan Frakes",3898,"Color","Action|Adventure|Drama|Sci-Fi|Thriller",2,"21st century|borg|borg sphere|captain|sphere",1,1,1,1,0,0,0,0,0,1,0,0,0,5990,"Matthew F. Leonetti","Digital Image Associates",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
6.7,17000000,26,"Jan",2007,109,"English","UK","R",2.35,"Universal Pictures",414,"Joe Carnahan","Ryan Reynolds",125,"Common",1954,"Alex Rocco",8987,"Color","Action|Crime|Drama|Thriller",0,"casino|fbi|mafia|mob hit|sniper",1,0,0,1,0,0,0,0,0,1,0,0,1,3654,"Mauro Fiore","Universal Pictures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8,780000,25,"Mar",2005,90,"English","USA","PG-13",2.35,"Koan",15,"Ryan Little","Corbin Allred",19392,"Larry Bagby",7081,"Kirby Heyborne",26283,"Color","Action|Adventure|Drama|War",0,"ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium",1,1,0,0,0,0,0,0,0,1,1,0,0,20530,"Ryan Little","Go Films",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3,8000000,11,"Dec",2009,138,"English","USA","R",2.35,"Sony Pictures Worldwide Acquisitions (SPWA)",263,"Troy Duffy","Norman Reedus",1504,"Julie Benz",943,"Clifton Collins Jr.",2999,"Color","Action|Crime|Thriller",0,"final showdown|ireland|justice|priest|sheep",1,0,0,1,0,0,0,0,0,0,0,0,1,7306,"Miroslaw Baszak","Stage 6 Films",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6.9,14000000,23,"Mar",1990,125,"English","USA","R",1.85,"Buena Vista Pictures",1775,"Garry Marshall","Julia Roberts",513,"Hector Elizondo",3264,"Jason Alexander",3559,"Color","Comedy|Romance",2,"businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman",0,0,0,0,0,1,0,0,0,0,0,0,0,1131,"Charles Minsky","Touchstone Pictures",0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
6,25000000,25,"Dec",2014,111,"English","USA","R",2.35,"Paramount Pictures",559,"Rupert Wyatt","George Kennedy",5556,"Cjon Saulsberry",112888,"Griffin Cleveland",65215,"Color","Crime|Drama|Thriller",1,"dog|gambler|gambling|gangster|professor",0,0,0,1,0,0,0,0,0,1,0,0,1,4187,"Greig Fraser","Paramount Pictures",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
5.1,15000000,23,"Mar",2007,89,"English","USA","R",2.35,"Screenbound International Pictures",127,"Martin Weisz","Jeff Kober",3075,"Daniella Alonso",3292,"Jacob Vargas",6230,"Color","Horror",0,"desert|fight|hill|murder|mutant",0,0,0,0,0,0,0,0,1,0,0,0,0,2679,"Sam McCurdy","Fox Atomic",0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
7.7,50000000,25,"Dec",1997,139,"English","USA","PG-13",1.85,"TriStar Pictures",596,"James L. Brooks","Lupe Ontiveros",14496,"Yeardley Smith",4002,"Shirley Knight",7728,"Color","Comedy|Drama|Romance",0,"dog|friendship|neighbor|unlikely friendship|writer",0,0,0,0,0,1,0,0,0,1,0,0,0,2905,"John Bailey","TriStar Pictures",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11500000,22,"Jan",2016,109,"English","USA","R",2.35,"Lionsgate",386,"Dan Mazer","Robert De Niro",379,"Zoey Deutch",306,"Jason Mantzoukas",797,"Color","Comedy",1,"female removes her clothes|fondling|voyeur|voyeurism|white panties",0,0,0,0,0,0,0,0,0,0,0,0,0,2918,"Eric Alan Edwards","Lionsgate",0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1
